species	external_id	current_symbol	prev_or_alias
zebrafish	NCBI_Gene:57934	actb1	actb1
zebrafish	ZDB-GENE-000329-10	or42c2	or42c2
zebrafish	NCBI_Gene:58103	or42c2	or42c2
zebrafish	ZDB-GENE-000329-12	or30bt4	or30bt4
zebrafish	NCBI_Gene:58121	or30bt4	or30bt4
zebrafish	ZDB-GENE-000329-13	or30bt1	or30bt1
zebrafish	NCBI_Gene:58111	or30bt1	or30bt1
zebrafish	ZDB-GENE-000329-14	or42c1	or42c1
zebrafish	NCBI_Gene:58115	or42c1	or42c1
zebrafish	ZDB-GENE-000329-15	or42c4	or42c4
zebrafish	NCBI_Gene:58104	or42c4	or42c4
zebrafish	ZDB-GENE-000329-16	or42e1	or42e1
zebrafish	NCBI_Gene:58116	or42e1	or42e1
zebrafish	ZDB-GENE-000329-17	hoxc12b	hoxc12b
zebrafish	NCBI_Gene:58062	hoxc12b	hoxc12b
zebrafish	ZDB-GENE-000329-2	hoxb7a	hoxb7a
zebrafish	NCBI_Gene:58044	hoxb7a	hoxb7a
zebrafish	ZDB-GENE-000329-3	actb2	actb2
zebrafish	NCBI_Gene:57935	actb2	actb2
zebrafish	ZDB-GENE-000329-4	notch2	notch2
zebrafish	NCBI_Gene:58065	notch2	notch2
zebrafish	ZDB-GENE-000329-5	notch3	notch3
zebrafish	NCBI_Gene:58066	notch3	notch3
zebrafish	ZDB-GENE-000329-9	actn3a	actn3a
zebrafish	NCBI_Gene:58037	actn3a	actn3a
zebrafish	ZDB-GENE-000330-2	trpc4apb	trpc4apb
zebrafish	NCBI_Gene:58089	trpc4apb	trpc4apb
zebrafish	ZDB-GENE-000330-3	trpc4apa	trpc4apa
zebrafish	NCBI_Gene:58090	trpc4apa	trpc4apa
zebrafish	ZDB-GENE-000330-4	stx1b	stx1b
zebrafish	NCBI_Gene:58038	stx1b	stx1b
zebrafish	ZDB-GENE-000330-5	cdc25b	cdc25b
zebrafish	NCBI_Gene:57925	cdc25b	cdc25b
zebrafish	ZDB-GENE-000330-7	blcap	blcap
zebrafish	NCBI_Gene:57918	blcap	blcap
zebrafish	ZDB-GENE-000330-8	coil	coil
zebrafish	NCBI_Gene:58024	coil	coil
zebrafish	ZDB-GENE-000330-9	psen2	psen2
zebrafish	NCBI_Gene:58026	psen2	psen2
zebrafish	ZDB-GENE-000403-1	axin1	axin1
zebrafish	NCBI_Gene:57931	axin1	axin1
zebrafish	ZDB-GENE-000403-2	axin2	axin2
zebrafish	NCBI_Gene:58080	axin2	axin2
zebrafish	ZDB-GENE-000405-1	pbx1a	pbx1a
zebrafish	NCBI_Gene:58138	pbx1a	pbx1a
zebrafish	ZDB-GENE-000405-3	pbx3b	pbx3b
zebrafish	NCBI_Gene:58140	pbx3b	pbx3b
zebrafish	ZDB-GENE-000405-5	pbx2	pbx2
zebrafish	NCBI_Gene:58136	pbx2	pbx2
zebrafish	ZDB-GENE-000405-6	dazl	dazl
zebrafish	NCBI_Gene:58039	dazl	dazl
zebrafish	ZDB-GENE-000406-10	ccnb1	ccnb1
zebrafish	NCBI_Gene:58025	ccnb1	ccnb1
zebrafish	ZDB-GENE-000406-3	plrdgb	plrdgb
zebrafish	NCBI_Gene:58096	plrdgb	plrdgb
zebrafish	ZDB-GENE-000406-5	copz2	copz2
zebrafish	NCBI_Gene:57969	copz2	copz2
zebrafish	ZDB-GENE-000406-6	copz1	copz1
zebrafish	NCBI_Gene:57970	copz1	copz1
zebrafish	ZDB-GENE-000406-8	mespaa	mespaa
zebrafish	NCBI_Gene:58069	mespaa	mespaa
zebrafish	ZDB-GENE-000406-9	mespba	mespba
zebrafish	NCBI_Gene:58070	mespba	mespba
zebrafish	ZDB-GENE-000411-1	wnt4b	wnt4b
zebrafish	NCBI_Gene:791993	wnt4b	wnt4b
zebrafish	ZDB-GENE-000412-1	bdnf	bdnf
zebrafish	NCBI_Gene:58118	bdnf	bdnf
zebrafish	ZDB-GENE-000426-1	fn1a	fn1a
zebrafish	NCBI_Gene:100005469	fn1a	fn1a
zebrafish	ZDB-GENE-000427-1	rh50	rh50
zebrafish	NCBI_Gene:791729	rh50	rh50
zebrafish	ZDB-GENE-000427-10	spon1b	spon1b
zebrafish	NCBI_Gene:58029	spon1b	spon1b
zebrafish	ZDB-GENE-000427-2	mbl2	mbl2
zebrafish	NCBI_Gene:100008009	mbl2	mbl2
zebrafish	ZDB-GENE-000427-3	p2rx3a	p2rx3a
zebrafish	NCBI_Gene:58147	p2rx3a	p2rx3a
zebrafish	ZDB-GENE-000427-4	valopa	valopa
zebrafish	NCBI_Gene:58109	valopa	valopa
zebrafish	ZDB-GENE-000427-6	her7	her7
zebrafish	NCBI_Gene:58132	her7	her7
zebrafish	ZDB-GENE-000427-7	tbx20	tbx20
zebrafish	NCBI_Gene:57936	tbx20	tbx20
zebrafish	ZDB-GENE-000427-9	spon1a	spon1a
zebrafish	NCBI_Gene:58027	spon1a	spon1a
zebrafish	ZDB-GENE-000501-1	celf1	celf1
zebrafish	NCBI_Gene:58137	celf1	celf1
zebrafish	ZDB-GENE-000501-2	celf3a	celf3a
zebrafish	NCBI_Gene:57922	celf3a	celf3a
zebrafish	ZDB-GENE-000502-1	bmpr1aa	bmpr1aa
zebrafish	NCBI_Gene:58145	bmpr1aa	bmpr1aa
zebrafish	ZDB-GENE-000508-1	dct	dct
zebrafish	NCBI_Gene:58074	dct	dct
zebrafish	ZDB-GENE-000509-1	bmal1a	bmal1a
zebrafish	NCBI_Gene:58098	bmal1a	bmal1a
zebrafish	ZDB-GENE-000509-2	bmal2	bmal2
zebrafish	NCBI_Gene:58099	bmal2	bmal2
zebrafish	ZDB-GENE-000509-3	smad3a	smad3a
zebrafish	NCBI_Gene:58092	smad3a	smad3a
zebrafish	ZDB-GENE-000510-1	rhebl1	rhebl1
zebrafish	NCBI_Gene:767781	rhebl1	rhebl1
zebrafish	ZDB-GENE-000511-1	hand2	hand2
zebrafish	NCBI_Gene:58150	hand2	hand2
zebrafish	ZDB-GENE-000511-2	pycard	pycard
zebrafish	NCBI_Gene:57923	pycard	pycard
zebrafish	ZDB-GENE-000511-3	dap	dap
zebrafish	NCBI_Gene:58093	dap	dap
zebrafish	ZDB-GENE-000511-4	dap1b	dap1b
zebrafish	NCBI_Gene:58094	dap1b	dap1b
zebrafish	ZDB-GENE-000511-5	tradd	tradd
zebrafish	NCBI_Gene:58130	tradd	tradd
zebrafish	ZDB-GENE-000511-6	baxa	baxa
zebrafish	NCBI_Gene:58081	baxa	baxa
zebrafish	ZDB-GENE-000511-7	mcl1a	mcl1a
zebrafish	NCBI_Gene:58122	mcl1a	mcl1a
zebrafish	ZDB-GENE-000511-8	slc40a1	slc40a1
zebrafish	NCBI_Gene:58153	slc40a1	slc40a1
zebrafish	ZDB-GENE-000516-1	fbxw4	fbxw4
zebrafish	NCBI_Gene:58035	fbxw4	fbxw4
zebrafish	ZDB-GENE-000517-1	fgd	fgd
zebrafish	NCBI_Gene:58075	fgd	fgd
zebrafish	ZDB-GENE-000523-2	pou4f1	pou4f1
zebrafish	NCBI_Gene:58057	pou4f1	pou4f1
zebrafish	ZDB-GENE-000524-1	slc34a2a	slc34a2a
zebrafish	NCBI_Gene:58148	slc34a2a	slc34a2a
zebrafish	ZDB-GENE-000526-1	hey2	hey2
zebrafish	NCBI_Gene:58146	hey2	hey2
zebrafish	ZDB-GENE-000605-1	runx1	runx1
zebrafish	NCBI_Gene:58126	runx1	runx1
zebrafish	ZDB-GENE-000605-2	runx3	runx3
zebrafish	NCBI_Gene:58127	runx3	runx3
zebrafish	ZDB-GENE-000607-1	pcdh18a	pcdh18a
zebrafish	NCBI_Gene:572532	pcdh18a	pcdh18a
zebrafish	ZDB-GENE-000607-13	sox5	sox5
